Month,Buy,Use/Refine,Store
January,Nothing,Nothing,500.0 tonsVEG1
,,,500.0 tonsVEG2
,,,500.0 tonsOIL1
,,,500.0 tonsOIL2
,,,500.0 tonsOIL3

February,Nothing,Nothing,500.0 tonsVEG1
,,,500.0 tonsVEG2
,,,500.0 tonsOIL1
,,,500.0 tonsOIL2
,,,500.0 tonsOIL3

March,Nothing,Nothing,500.0 tonsVEG1
,,,500.0 tonsVEG2
,,,500.0 tonsOIL1
,,,500.0 tonsOIL2
,,,500.0 tonsOIL3

April,Nothing,Nothing,500.0 tonsVEG1
,,,500.0 tonsVEG2
,,,500.0 tonsOIL1
,,,500.0 tonsOIL2
,,,500.0 tonsOIL3

May,Nothing,Nothing,500.0 tonsVEG1
,,,500.0 tonsVEG2
,,,500.0 tonsOIL1
,,,500.0 tonsOIL2
,,,500.0 tonsOIL3

June,Nothing,Nothing,500.0 tonsVEG1
,,,500.0 tonsVEG2
,,,500.0 tonsOIL1
,,,500.0 tonsOIL2
,,,500.0 tonsOIL3

